Object Id,Average Velocity,Average Delta Altitude,Max Velocity,Average Delta longitude,Average Delta latitude,Average Delta time,longitude traverse,latitude traverse,Altitude Traverse,Time taken
1025,4698.2951,46434.293,5330.359,192734.422,197084.02,61.20107,91616.361,89490.08,244.449,29.58051
1026,4343.358957,26676.4598,4762.385,159437.582,151974.282,52.02086,67823.726,62484.941,1224.8688,22.44035
1027,5031.547138,44078.0708,5600.896,165588.31,154888.698,51.00084,97761.32,92418.339,914.123,28.56049
1028,4837.480885,35023.923,5308.102,183124.972,171754.444,54.06091,85344.591,79329.122,720.025,25.50042
1029,5092.007129,49855.202,5729.124,189665.086,179576.794,56.10095,104371.938,100236.037,668.336,30.60053
1030,4469.56984,32121.4179,4959.672,176130.292,173933.398,55.08092,71703.796,73711.094,1731.2359,24.48039
1031,4984.258909,25731.0649,5302.846,143243.432,147540.546,45.90071,71539.291,73803.413,168.36,21.42032
1032,4657.623579,17892.901,4904.305,125757.578,136312.606,39.78057,54266.184,62532.283,67.404,18.36025
1033,4789.273148,36911.6407,5320.521,137456.322,147980.954,44.88069,83199.306,85433.762,1694.2887,26.52044
1034,4895.893097,50946.5432,5567.81,181427.934,182707.202,57.12097,98210.702,97298.441,1408.5645,30.60053
1035,4777.200931,44219.3242,5380.326,183927.972,190691.606,59.16102,85703.086,93401.038,1340.3387,28.56049
1036,4658.01224,32692.5412,5113.408,166143.706,165103.382,53.04088,80438.843,71657.146,936.1175,24.48039
1037,4272.087958,29829.0216,4740.103,145828.712,139427.456,47.94076,65338.741,67778.248,1498.7581,23.46037
1038,5050.239848,57406.0866,5794.791,171067.396,175904.876,56.10095,105786.823,108132.738,1844.1035,32.64058
1039,4357.949842,19339.6507,4641.17,159389.618,163564.356,51.00083,53605.394,55416.858,960.7582,18.36025
1040,4857.167406,53494.0952,5567.455,158909.176,148784.304,49.98081,105322.603,93349.747,799.898,31.62056
1041,4571.365406,53256.9049,5328.941,194748.77,188871.274,63.24112,89389.32,95588.512,1315.2549,31.62056
1042,4666.979815,38286.2605,5200.083,164924.59,183378.202,58.141,75547.395,87774.121,1152.0186,26.52044
1043,4556.909125,29904.9716,4980.542,140908.748,165057.022,49.98081,65348.679,77298.166,683.226,23.46037
1044,4622.061741,37564.6438,5164.662,151971.508,152285.606,49.98081,86652.599,74898.478,1384.2458,26.52044
1045,4743.186032,50546.2903,5431.962,185531.888,164085.97,57.12097,98899.409,89218.96,1269.9635,30.60053
1046,4554.275267,47116.6723,5218.956,191224.198,171124.71,60.18104,92310.224,81972.345,963.4768,29.58051
1047,4854.458143,40776.4018,5389.975,185564.922,165553.16,57.12097,93226.521,83494.485,317.189,27.54046
1048,4584.494067,46174.943,5238.201,184122.18,168437.122,57.12097,90903.96,84957.541,613.387,29.58051
1049,4237.441167,16215.878,4480.438,140480.25,135682.494,46.92074,49567.96,50756.742,159.117,17.34023
1050,4489.003167,28970.698,4917.333,121051.104,119991.928,40.8006,71526.302,69224.324,524.351,23.46037
1051,4681.971,46259.989,5324.713,154238.412,166334.04,53.04088,82662.436,97131.72,559.863,29.58051
1052,4744.500387,49688.636,5431.274,183455.078,184261.116,60.18104,100823.869,87106.568,1046.91,30.60053
1053,4633.848955,25226.42595,5007.127,170463.668,151645.08,52.02085,69649.349,64548.36,1768.30195,21.42032
1054,4450.105438,54290.76795,5230.924,158355.586,155028.436,53.04088,88660.333,90442.278,1427.532,31.62056
1055,4556.41476,32869.257,5038.981,159511.932,167969.05,56.10095,70858.076,77603.415,1784.277,24.48039
1056,4875.123926,38681.647,5380.321,154464.928,166003.766,51.00083,83641.644,88368.313,801.822,26.52044
1057,4626.210913,27098.04431,5032.573,159491.124,151814.8,48.96079,75841.032,63450.81,1768.26831,22.44035
1058,4794.254435,28174.56831,5156.771,148569.176,136232.446,44.8807,72666.858,72775.288,174.795,22.44035
1059,4595.344393,39757.129,5165.325,161793.624,149349.106,49.98081,89178.452,76541.828,646.36,27.54046
1060,4804.13987,26886.7235,5180.518,161922.322,149485.472,49.98081,72780.951,72982.761,986.7345,22.44035
1061,4854.380368,18757.4985,5106.11,134791.592,133349.71,40.8006,61965.006,60377.13,781.55,18.36025
1062,4655.940208,29661.884,5064.412,130363.39,138311.54,41.82062,68387.985,77907.415,359.172,23.46037
1063,4917.090788,56309.253,5648.964,176667.35,176599.132,56.10095,108336.71,98707.256,184.979,32.64058
1064,4429.353125,29007.7785,4872.642,180580.876,165036.63,56.10095,72217.968,66330.505,1066.4815,23.46037
1065,4571.18528,32455.8555,5033.03,142581.128,144903.216,47.94076,70351.514,78590.543,859.506,24.48039
1066,4832.310688,53356.087,5543.012,164614.044,182017.594,56.10095,94231.077,103382.622,780.435,31.62056
1067,5169.562581,49854.969,5798.334,199040.22,206720.682,62.22109,104861.375,103381.741,819.935,30.60053
1068,4617.57345,20479.0864,4919.836,161796.328,168194.746,49.98081,56916.389,64834.998,1236.2794,19.38028
1069,4753.561043,27549.4757,5135.967,123274.336,142270.536,41.82063,66297.593,77364.533,1096.6273,22.44035
